;Turnover 
bal.82;303,1
geg.82;297,8
bir?.82;298
liep.82;307,9
rugp.82;299,2
rugs.82;305,4
spal.82;318
lapkr.82;334,4
gruod.82;389,6
saus.83;311,4
vas.83;327,2
kov.83;350,9
bal.83;323,4
geg.83;316,6
bir?.83;325,4
liep.83;323,1
rugp.83;338,1
rugs.83;330,6
spal.83;351,1
lapkr.83;361,5
gruod.83;430,9
saus.84;333,2
vas.84;343,3
kov.84;344,8
bal.84;345,9
geg.84;352
bir?.84;348,9
liep.84;348,6
rugp.84;374,6
rugs.84;345,7
spal.84;373,5
lapkr.84;378,7
gruod.84;432,6
saus.85;376,4
vas.85;352
kov.85;371,8
bal.85;366,6
geg.85;391
bir?.85;369,4
liep.85;423,8
rugp.85;401,9
rugs.85;388,6
spal.85;420
lapkr.85;422,5
gruod.85;481,3
saus.86;420,7
vas.86;392,9
kov.86;419,4
bal.86;415
geg.86;440
bir?.86;418,8
liep.86;451,9
rugp.86;446,2
rugs.86;444,3
spal.86;458,6
lapkr.86;454,7
gruod.86;528,1
saus.87;466,4
vas.87;430,5
kov.87;447,7
bal.87;455,5
geg.87;459,8
bir?.87;443,2
liep.87;460,1
rugp.87;463,6
rugs.87;459,8
spal.87;478,9
lapkr.87;478,7
gruod.87;565,4
saus.88;479,2
vas.88;467,2
kov.88;501,1
bal.88;484,6
geg.88;481,2
bir?.88;482,9
liep.88;479,2
rugp.88;494,5
rugs.88;508,6
spal.88;509,2
lapkr.88;535,8
gruod.88;627,7
saus.89;507,8
vas.89;503,2
kov.89;578,3
bal.89;546,5
geg.89;540,7
bir?.89;546,9
liep.89;549,5
rugp.89;570,1
rugs.89;575,8
spal.89;556,1
lapkr.89;586,8
gruod.89;702
saus.90;563,1
vas.90;558,2
kov.90;608,8
bal.90;570,2
geg.90;596,2
bir?.90;605,4
liep.90;594,8
rugp.90;644,1
rugs.90;604,4
spal.90;630,1
lapkr.90;665,7
gruod.90;737,9
saus.91;677,9
vas.91;617,3
kov.91;672,3
bal.91;623,1
geg.91;666,9
bir?.91;621,1
liep.91;657,7
rugp.91;711
rugs.91;639,2
spal.91;696,7
lapkr.91;701,9
gruod.91;772,1
saus.92;707,9
vas.92;676,2
kov.92;697,3
bal.92;720,2
geg.92;713
bir?.92;688,4
liep.92;738,3
rugp.92;721,4
rugs.92;714,2
spal.92;757,5
lapkr.92;716,2
gruod.92;832,8
saus.93;734,9
vas.93;710,8
kov.93;754,8
